Source_id,RA,E_RA,E_RA_tot,DEC,E_DEC,E_DEC_tot,Peak_flux,E_Peak_flux,E_Peak_flux_tot,Total_flux,E_Total_flux,E_Total_flux_tot,Resolved,Isl_rms,S_Code,Mosaic_ID
ILTJ133348.9+562424.9,203.453682008427,0.0763874215918871,1.70171532230789,56.4069154338495,0.0799115770464316,1.70187715777198,263.119799337917,1.86319046730525,52.6569333598386,283.391683396991,3.14981330976677,56.7657922751863,U,1.83123303577304,S,P205+55
ILTJ133155.6+534827.4,202.981501744595,0.0964035078703868,1.70273122844732,53.8076171392592,0.100364744860024,1.70296009407467,257.716874805187,2.27196532241315,51.5934233095686,283.337111813027,3.81620337783297,56.7957759471855,U,2.22361972555518,S,P205+55
ILTJ133640.5+554101.7,204.168919893475,0.115564673050258,1.70392347059873,55.6838074893047,0.0872757860296407,1.70223883836173,202.885304129947,1.30726676434278,40.5981134003688,275.89605461994,2.94491476644626,55.2577401019585,U,1.30726676434278,M,P205+55
ILTJ133959.2+532007.9,204.996868932636,0.117255808599191,1.70403900326555,53.3355153509367,0.121081427027659,1.70430651937116,234.705103597544,2.50310834241061,47.0077118945733,259.744692450975,4.19419972679116,52.1179769523557,U,2.44541419669986,S,P206+52
ILTJ132953.2+554228.5,202.47168902234,0.0946569663232021,1.70263323745119,55.7079286957355,0.0960158482191585,1.702709324315,230.334702326271,1.94838348681399,46.1081251195595,257.347352944104,3.25643306253152,51.5723836853043,U,1.90096965525299,S,P200+55
ILTJ135303.5+541026.9,208.264467734207,0.148227317738431,1.70644992241903,54.1741339880747,0.15009213248672,1.70661291693061,218.688715520935,2.85788326664106,43.8310126350465,252.657442926697,4.72305608526529,50.7517349204424,U,2.76743015274405,S,P209+55
ILTJ134149.2+562803.7,205.454877699915,0.0984504810492162,1.7028483482738,56.4677063378053,0.0996079837495083,1.70291566157184,209.927933088799,1.80158416585298,42.0242214579172,243.772862041897,2.97599341685398,48.8453157174879,U,1.74558931030333,S,P205+55
ILTJ133001.9+554635.3,202.508047578844,0.0716814786480029,1.70151057427839,55.7764650635097,0.0753199167623024,1.70166773779756,216.934750609956,1.44971184697238,43.4111633721951,232.162974370767,2.45596231264888,46.4975011976817,U,1.42692076042295,S,P200+55
ILTJ133835.6+532618.0,204.648523676166,0.105383383166599,1.70326323786068,53.4383456746284,0.109551015380761,1.70352617384382,202.336882036558,1.95281988894961,40.5144672778714,222.186461312084,3.28064106511767,44.5582265066013,U,1.91118929069489,S,P205+55
ILTJ133508.4+533629.4,203.785214916445,0.0969347008904684,1.70276138558423,53.6081752005495,0.095854850767218,1.70270025324941,171.231994548638,1.40017344341281,34.2750101962906,210.057531581203,2.27161598856284,42.072876086132,U,1.34155212435871,S,P205+55
ILTJ133543.8+554523.3,203.932440068479,0.0868951768428288,1.70221936652082,55.7564635760379,0.0899821011546679,1.70237973981371,171.128052648122,1.26782939833896,34.2490847689224,207.918975423458,2.06808575870951,41.6351893516889,U,1.22113840188831,S,P205+55
ILTJ134239.0+541155.5,205.662348755503,0.123369378284169,1.70447059332164,54.1987615393069,0.123101886180894,1.7044512531549,194.088676961138,2.18512716421668,38.8791893138836,206.253591405855,3.7096801801963,41.4171882888238,U,2.15372000820935,S,P205+55
ILTJ133842.7+561105.8,204.677995724438,0.0890093403242046,1.70232860008429,56.1849463324843,0.157973857354012,1.70732414602714,133.159824595851,1.15613429807127,26.6570478855235,201.301128061675,2.7561095249439,40.3544533610554,U,1.15613429807127,M,P205+55
ILTJ134635.4+551352.0,206.647300090539,0.0957483937870924,1.70269426348737,55.2311177546831,0.0912449128556673,1.70244695486292,166.460641024397,1.33973240171917,33.3190738664559,195.499086876612,2.20570998491098,39.1619825254174,U,1.29574618767947,S,P205+55
ILTJ135122.6+560136.6,207.844396557215,0.111595980296964,1.7036589044813,56.0268378567718,0.110726345403474,1.70360216117684,156.689684508008,1.55178107171178,31.376333656807,174.605200990933,2.5946076485784,35.0172962601829,U,1.51396938599646,S,P209+55
ILTJ134741.1+550958.3,206.92143138474,0.0934973284974197,1.70256916171889,55.166205656698,0.0957300511455928,1.70269323211562,152.438601814357,1.29812927793767,30.5153442147862,166.816553769634,2.18294903939693,33.4346492574948,U,1.27119582612067,C,P205+55
ILTJ133221.1+531916.8,203.087820528659,0.0976882163269774,1.70280444784748,53.3213292861967,0.102991660927207,1.70311693145848,151.08489471111,1.35642023279003,30.2474080251947,166.685341171819,2.2757879928949,33.4146574043672,U,1.32655561901629,S,P41
ILTJ135014.7+560233.3,207.561238532303,0.0711019795815267,1.7014862595685,56.0425834345081,0.0700764228623865,1.70144371198144,142.836376118827,0.889417705949529,28.581117500301,162.3374957334,1.47777621799035,32.5011126484944,U,0.864241097588092,S,P209+55
ILTJ134042.6+550510.0,205.177694380542,0.0834606259754859,1.70204749525042,55.0861053387866,0.177355605873309,1.70922643641347,107.12600751111,0.749874045141041,21.4383201416154,157.324953911714,1.81769889170322,31.5174503123875,U,0.749874045141041,M,P205+55
ILTJ133208.0+541236.5,203.033406295816,0.0887647467186764,1.70231582858764,54.2101357639576,0.0881106611243077,1.70228184758099,132.601262141558,1.02370144455082,26.5400028920297,154.074652643112,1.68891830877619,30.8611793121642,U,0.990328844636679,S,P205+55
ILTJ134242.6+551748.3,205.677435347135,0.0804722438074675,1.70190357600641,55.2967590002959,0.0863180565094349,1.70219000316638,138.987200219897,1.03975669450699,27.8168791740266,152.217219627882,1.74895980573409,30.4936409510538,U,1.01870647631586,S,P205+55
ILTJ134957.3+553658.9,207.488829320126,0.0758497490741926,1.70169127177482,55.6163640010224,0.118921629744669,1.70415443960374,99.1350430381802,0.700046890415251,19.8393632956316,150.482805885987,1.64799595898572,30.1416470248993,U,0.700046890415251,M,P209+55
ILTJ133556.8+544335.9,203.986764317931,0.102185506136811,1.70306837140041,54.7266306775267,0.110277438638732,1.7035730431868,109.636882120104,0.912818591824869,21.9463681419566,147.881360564256,1.44477971411592,29.6115393135133,U,0.867877737618983,S,P205+55
ILTJ135118.0+553225.4,207.824966932003,0.0834102687520593,1.70204502670561,55.5403779142488,0.0837025815530786,1.70205937680172,130.018215808345,0.960594485281188,26.0213796606669,147.399501661132,1.59708705931936,29.5231300961305,U,0.933700066525489,S,P209+55
ILTJ134342.5+541709.6,205.926929955507,0.0960573049020347,1.70271166256212,54.2860039970133,0.0967703396834208,1.70275203674594,132.179990160507,1.14306544011356,26.4606989808215,145.703891843201,1.91766964929551,29.2038083272377,U,1.11759174615145,S,P205+55
ILTJ133558.1+542407.0,203.992248650325,0.0823673112190776,1.70199423440782,54.4019491341449,0.0852029735857082,1.70213382162151,112.486966787656,0.778725661059943,22.5108667433905,142.724443275284,1.25194694592954,28.5723299624832,U,0.743423297535628,S,P205+55
ILTJ134140.7+542347.9,205.419759774971,0.125581098347914,1.70463210466724,54.3966337565188,0.106124922273603,1.70330927876519,112.160806032505,1.08185980417941,22.4582340585886,141.21392314556,1.74336994980228,28.2965408201829,U,1.03404244873673,C,P205+55
ILTJ134019.2+541241.8,205.079998821322,0.0860103458804075,1.7021744269018,54.211618384634,0.116308800886276,1.70397410108358,109.508607574009,0.920663357584954,21.9210635309954,137.474642402156,1.48716732448066,27.5351186450147,U,0.882413296494633,S,P205+55
ILTJ133544.4+535727.9,203.934901580039,0.0919103085367279,1.70248274728859,53.957753306397,0.0937323094353352,1.70258208196612,123.615888611584,1.03282295255914,24.7447416624339,134.988373515486,1.73829963442222,27.0535787834675,U,1.01208046544343,S,P205+55
ILTJ133334.3+554005.1,203.39298097967,0.191206244659934,1.71071909675345,55.66809090504,0.195281757541391,1.71117940755154,88.5970828396164,1.30840642875009,17.7676574395835,133.176004268153,1.99851746202841,26.7100729418563,U,1.22010067570955,C,P205+55
ILTJ132947.7+534643.7,202.448603731365,0.0733559547141715,1.70158193928239,53.7788060258412,0.117292319438884,1.70404151598468,94.100910167927,0.65753806848079,18.8316650376113,133.069419956856,1.45071686436353,26.6533937900358,U,0.65753806848079,M,P200+55
ILTJ133336.1+553923.6,203.400367791779,0.178385276632545,1.70933358561729,55.6565649928435,0.234162876801475,1.71605135496346,84.6733227529999,1.30729472025943,16.9850488055515,130.965164770879,1.98407670678556,26.2680706508291,U,1.22010067570955,C,P205+55
ILTJ134748.0+553857.8,206.950226048403,0.160517988505009,1.70756142631347,55.6494000655415,0.169764932124136,1.70845548147416,105.64951082101,1.47089955349994,21.181036588544,130.700230280367,2.38081936929531,26.2482439161717,U,1.40787672717124,C,P205+55
ILTJ133437.4+555448.4,203.655844675041,0.0992858126164951,1.70289684731252,55.9134282565266,0.183121362325556,1.70983432920853,85.7217761489785,0.884239641173759,17.1671429186235,129.487998285497,1.36237758665099,25.933409738945,U,0.840746564790606,S,P205+55
ILTJ132801.6+550918.8,202.006512065042,0.298715424081339,1.72604487328229,55.1552312778764,0.296653688608893,1.72568925677981,92.7719863625266,2.20172930390551,18.6845730503437,128.848104516416,3.44020222966924,25.9982374956448,U,2.07044510170817,S,P200+55
ILTJ135141.8+552515.6,207.924321178504,0.190491803183375,1.71063939130375,55.4209913776262,0.157553366782262,1.70728529056641,103.407597087093,1.51546010938776,20.7369685527131,128.101490830813,2.45345578130689,25.7375042184339,U,1.45156763028353,S,P209+55
ILTJ132803.7+542136.4,202.015479737426,0.0754240952418877,1.70167235217096,54.3601080528996,0.0975737090895371,1.70279788251733,85.8539399440449,0.531269994098693,17.1790048595155,127.145604142254,1.28286683001634,25.4614597659189,U,0.531269994098693,M,P200+55
ILTJ134209.4+561226.5,205.539273904493,0.104218238626665,1.70319154567607,56.2073697297712,0.0995004379964739,1.70290937432427,109.886392043519,0.979041166702685,21.9990747046275,125.957676362175,1.62336094921145,25.2437863672184,U,0.95056212740019,S,P205+55
ILTJ133459.0+551414.0,203.745934108911,0.206828481133202,1.71253555309309,55.2372073908018,0.113918439558998,1.70381261025723,88.4231918590965,1.10163586214185,17.718917458885,125.189276961784,2.65249675704823,25.1779654002209,U,1.10163586214185,M,P205+55
ILTJ133755.1+525946.7,204.479406833641,0.0614826849647779,1.70111143684077,52.9962943803335,0.0669894155414876,1.70131936502074,109.854566103426,0.626775292957169,21.9798515695338,123.287623165541,1.04572680301464,24.6796893331111,U,0.610701215919107,S,P206+52
ILTJ134324.5+541050.4,205.852152871007,0.0986214213477412,1.70285823976884,54.1806709906868,0.10133287909073,1.70301742574315,109.245086409826,0.966633722327142,21.8703895013499,122.920023875733,1.61179901961907,24.6367852380151,U,0.941632781177759,S,P205+55
ILTJ133931.5+560148.4,204.881173865996,0.10531338719448,1.70325890854044,56.0301190922428,0.109016846488418,1.70349190570965,106.896233651372,1.00638439721829,21.4029203687001,122.590089189328,1.6672744694652,24.574641459326,U,0.976092182099819,S,P205+55
ILTJ134320.2+564405.0,205.834227928549,0.187844384317525,1.71034660601868,56.734713989261,0.187662403475714,1.71032662894497,89.1046304417386,1.29287318245148,17.8677622469143,120.953296070783,2.0449584295581,24.2769406679276,U,1.23081274796277,C,P205+55
ILTJ134254.6+534226.1,205.72765120023,0.184294076435055,1.70996032310959,53.7072628145005,0.187590198329068,1.71031870787556,88.4343092977212,1.29150162920114,17.733952151081,120.398595825066,2.03646634723243,24.1656795941954,U,1.22439744882286,S,P205+55
ILTJ133916.5+543240.8,204.818708374405,0.0800698065322626,1.70188459477078,54.5446640387886,0.0875089337169645,1.70225080804219,103.803526792633,0.760715053741172,20.7746377676373,118.09047649359,1.26534188061513,23.6519664217199,U,0.740445218980312,S,P205+55
